phase,sleepHours,sleepQuality,energy,mood,muscleSoreness,sleepDebt,acuteLoad,chronicLoad,recoveryScore
Menstrual,6.6,3,2,3,4,1.4,460.7,486.2,25.4
Menstrual,7.4,4,3,3,2,0.6,149.0,168.2,56.5
Follicular,7.6,4,3,3,1,0.4,79.2,179.2,67.2
Early Luteal,7.3,4,3,4,1,0.7,13.5,113.5,64.2
Menstrual,5.2,4,2,2,3,2.8,290.9,335.5,29.4
Menstrual,8.4,4,4,3,1,0.0,23.0,123.0,68.9
Follicular,6.7,4,3,3,3,1.3,357.2,331.8,45.7
Early Luteal,6.3,3,3,3,4,1.7,724.2,768.0,17.4
Early Luteal,8.2,5,3,4,2,0.0,167.9,233.9,71.7
Follicular,5.9,4,3,4,3,2.1,321.5,406.4,38.2
Early Luteal,6.7,2,3,3,4,1.3,501.1,445.8,21.1
Late Luteal,4.6,1,2,2,1,3.4,32.1,27.9,23.4
Late Luteal,6.2,3,3,2,1,1.8,107.0,107.6,46.6
Follicular,7.4,4,3,3,2,0.6,180.4,242.0,59.3
Late Luteal,5.5,3,1,1,3,2.5,451.1,329.5,21.1
Follicular,8.6,5,4,3,2,0.0,335.6,432.3,71.8
Late Luteal,6.6,2,2,2,2,1.4,209.4,80.7,32.7
Early Luteal,6.0,3,2,4,4,2.0,593.5,657.0,22.7
Menstrual,7.2,4,2,2,4,0.8,377.2,386.3,35.8
Follicular,7.0,3,3,3,2,1.0,145.9,232.7,49.9
Follicular,6.2,3,3,4,2,1.8,197.3,237.6,49.7
Early Luteal,8.0,4,3,3,3,0.0,437.2,399.4,53.5
Menstrual,7.4,3,3,3,1,0.6,67.1,0.7,55.1
Late Luteal,6.2,3,3,3,2,1.8,131.4,231.4,39.3
Early Luteal,7.0,4,4,4,2,1.0,343.0,364.6,50.2
Follicular,7.8,4,4,4,2,0.2,137.7,103.5,63.4
Early Luteal,7.5,4,3,3,3,0.5,459.5,480.4,41.0
Menstrual,7.2,3,3,2,1,0.8,92.6,18.1,54.6
Early Luteal,6.3,3,2,3,3,1.7,479.7,331.2,36.4
Late Luteal,9.0,5,4,3,2,0.0,214.7,304.6,61.2
Late Luteal,6.9,1,2,2,2,1.1,214.3,314.3,33.5
Early Luteal,6.5,4,4,4,1,1.5,37.8,0.0,65.3
Follicular,5.9,3,3,3,2,2.1,244.7,344.2,39.7
Late Luteal,5.0,2,2,3,1,3.0,115.5,202.1,26.0
Ovulation,7.2,4,4,4,2,0.8,245.3,67.5,69.5
Follicular,7.0,3,3,4,2,1.0,108.7,27.3,54.1
Follicular,7.4,5,4,3,1,0.6,62.7,0.0,79.3
Menstrual,5.4,3,1,2,4,2.6,673.7,638.9,10.3
Follicular,8.2,4,4,5,3,0.0,509.6,520.0,53.2
Late Luteal,5.7,2,2,2,1,2.3,51.5,151.5,38.5
Follicular,5.7,4,4,5,2,2.3,225.7,160.8,46.5
Menstrual,6.8,2,3,2,3,1.2,491.0,419.1,25.9
Follicular,8.1,3,3,3,2,0.0,217.4,266.7,55.3
Early Luteal,8.3,5,3,3,2,0.0,216.6,155.6,68.7
Late Luteal,7.8,4,3,3,1,0.2,140.1,25.2,66.3
Early Luteal,6.4,3,2,1,1,1.6,73.4,151.5,45.2
Late Luteal,5.9,2,1,1,4,2.1,675.1,704.1,5.0
Late Luteal,7.7,4,3,3,2,0.3,243.4,218.5,60.2
Ovulation,6.4,4,4,4,2,1.6,350.9,363.6,47.0
Late Luteal,7.2,4,3,3,2,0.8,263.8,363.8,55.0
Menstrual,6.5,2,2,2,3,1.5,322.3,422.3,22.4
Late Luteal,5.3,2,2,3,2,2.7,148.0,116.6,25.5
Early Luteal,7.4,4,2,3,2,0.6,236.8,272.0,57.7
Follicular,8.6,5,4,4,3,0.0,438.4,439.0,63.7
Late Luteal,5.0,2,2,2,2,3.0,155.5,127.5,23.7
Menstrual,7.3,4,4,3,1,0.7,57.4,32.8,61.4
Follicular,7.4,5,4,4,4,0.6,598.1,517.1,54.4
Ovulation,8.3,4,4,4,2,0.0,220.0,137.9,67.1
Early Luteal,7.8,5,4,4,2,0.2,117.7,111.2,71.3
Late Luteal,7.1,4,4,3,2,0.9,77.8,126.0,57.1
Ovulation,8.1,5,5,5,2,0.0,82.4,30.5,80.9
Late Luteal,7.1,4,4,3,2,0.9,112.2,66.8,51.1
Early Luteal,5.6,3,3,2,1,2.4,86.1,177.8,49.5
Ovulation,6.3,3,4,4,1,1.7,70.1,24.9,54.8
Ovulation,5.7,3,3,3,2,2.3,293.9,318.4,39.0
Early Luteal,7.7,4,2,3,5,0.3,800.0,842.4,35.5
Follicular,5.7,3,3,4,1,2.3,117.3,133.8,43.6
Menstrual,4.5,2,2,2,3,3.5,302.6,172.0,12.5
Late Luteal,6.3,3,3,3,2,1.7,319.6,419.6,40.4
Early Luteal,7.1,4,4,4,2,0.9,148.9,189.2,65.9
Menstrual,5.9,2,2,3,3,2.1,314.0,414.0,20.6
Menstrual,8.1,4,3,3,2,0.0,199.1,240.0,53.7
Early Luteal,6.3,4,3,4,3,1.7,423.1,250.5,37.2
Early Luteal,7.5,4,2,4,2,0.5,137.3,153.1,58.1
Late Luteal,7.6,3,2,1,3,0.4,287.9,343.1,41.7
Early Luteal,7.2,4,3,4,2,0.8,169.2,109.0,55.6
Follicular,7.3,4,3,5,3,0.7,335.7,337.6,50.9
Early Luteal,7.4,4,3,3,4,0.6,634.8,626.2,42.0
Early Luteal,8.2,5,3,3,2,0.0,194.8,280.3,70.6
Ovulation,6.9,4,5,5,2,1.1,156.3,232.0,66.7
Follicular,6.4,4,3,3,2,1.6,314.9,337.9,51.7
Menstrual,7.0,2,2,3,4,1.0,632.6,699.3,20.6
Menstrual,6.1,3,3,2,2,1.9,120.9,128.6,37.3
Follicular,6.4,3,3,4,4,1.6,510.2,580.0,29.8
Ovulation,8.8,5,4,4,3,0.0,307.4,343.5,66.8
Early Luteal,8.0,4,4,5,1,0.0,93.7,72.0,73.3
Late Luteal,7.0,3,2,1,2,1.0,100.9,158.3,47.2
Early Luteal,5.6,2,2,2,2,2.4,176.5,230.4,27.3
Ovulation,7.0,2,3,3,2,1.0,156.9,256.9,46.4
Follicular,6.9,2,4,4,3,1.1,227.1,327.1,39.5
Follicular,8.4,5,5,5,2,0.0,233.4,307.8,73.9
Menstrual,7.6,3,3,3,1,0.4,103.5,111.9,55.6
Late Luteal,8.3,4,3,2,3,0.0,463.0,404.6,50.6
Follicular,6.4,2,4,3,2,1.6,167.6,259.1,39.8
Follicular,7.1,4,4,3,2,0.9,279.8,231.9,57.4
Ovulation,6.2,3,2,2,4,1.8,528.7,481.1,25.6
Menstrual,5.7,4,4,3,2,2.3,155.0,182.0,42.6
Early Luteal,7.0,3,3,2,2,1.0,117.0,105.5,47.9
Ovulation,6.7,3,3,5,2,1.3,141.5,212.4,49.7
Follicular,7.0,3,3,4,2,1.0,187.3,0.0,52.1
Menstrual,8.2,4,3,4,1,0.0,164.2,174.8,62.7
Follicular,7.3,4,4,4,2,0.7,265.1,332.7,64.7
Early Luteal,7.3,3,2,3,5,0.7,667.3,629.7,25.3
Ovulation,9.5,5,5,5,1,0.0,28.9,0.0,91.0
Ovulation,7.8,4,3,4,2,0.2,146.2,75.8,70.3
Menstrual,4.8,1,2,3,1,3.2,13.9,11.5,25.6
Follicular,6.1,3,3,3,2,1.9,88.1,112.7,42.6
Early Luteal,7.3,3,3,2,2,0.7,285.3,201.2,50.0
Follicular,8.2,5,4,4,2,0.0,59.4,0.0,76.4
Early Luteal,8.3,3,3,2,4,0.0,643.9,540.0,35.7
Early Luteal,7.5,4,3,3,2,0.5,246.1,346.1,60.7
Late Luteal,6.6,2,2,3,3,1.4,444.5,413.0,26.1
Late Luteal,8.7,3,3,2,2,0.0,186.6,220.6,62.7
Ovulation,6.4,2,4,5,1,1.6,83.4,105.7,50.1
Late Luteal,3.5,1,2,3,1,4.5,26.0,117.8,12.3
Late Luteal,6.4,3,3,2,2,1.6,238.6,146.1,33.9
Early Luteal,6.9,2,1,2,3,1.1,458.7,370.5,30.8
Follicular,5.9,3,2,2,4,2.1,490.3,492.9,29.2
Follicular,9.0,5,4,3,2,0.0,129.3,155.1,77.2
Late Luteal,6.6,2,2,2,4,1.4,435.4,454.7,21.5
Early Luteal,7.2,4,3,3,1,0.8,119.1,77.7,66.8
Follicular,8.0,4,3,3,4,0.0,519.9,588.4,46.9
Early Luteal,5.7,3,2,2,3,2.3,340.0,400.8,24.7
Late Luteal,7.1,3,2,2,5,0.9,800.0,733.7,17.8
Early Luteal,7.4,4,3,4,2,0.6,145.1,46.0,60.2
Late Luteal,5.4,3,1,2,5,2.6,800.0,879.9,2.8
Menstrual,8.2,4,4,3,1,0.0,94.9,22.8,72.3
Menstrual,5.5,2,2,1,2,2.5,267.8,262.4,20.5
Late Luteal,6.1,2,2,2,1,1.9,60.0,98.0,38.2
Ovulation,7.7,4,3,4,5,0.3,746.6,759.1,36.9
Late Luteal,4.4,1,2,1,1,3.6,9.0,0.0,17.2
Menstrual,5.5,4,2,1,4,2.5,560.1,609.6,22.8
Early Luteal,5.5,4,3,4,2,2.5,116.5,148.8,43.4
Follicular,6.4,3,3,4,2,1.6,159.8,111.4,48.1
Early Luteal,9.4,5,4,4,1,0.0,51.2,0.0,87.1
Follicular,7.3,4,2,4,3,0.7,550.4,521.3,46.3
Follicular,8.4,4,4,4,3,0.0,278.2,223.6,63.6
Early Luteal,7.3,4,3,4,3,0.7,443.9,285.4,48.9
Follicular,8.7,4,3,3,3,0.0,369.3,354.6,61.2
Early Luteal,7.0,3,3,3,2,1.0,344.7,317.8,47.1
Follicular,6.9,4,3,4,4,1.1,714.5,718.2,34.8
Late Luteal,6.6,2,2,2,2,1.4,219.3,315.7,38.6
Early Luteal,7.6,3,2,2,2,0.4,319.0,327.1,54.1
Menstrual,5.3,2,2,2,3,2.7,334.5,304.3,11.6
Early Luteal,7.1,5,4,3,2,0.9,263.1,173.9,62.8
Ovulation,7.6,4,4,3,2,0.4,348.4,391.9,63.9
Late Luteal,6.9,3,2,2,2,1.1,313.1,313.2,36.9
Late Luteal,5.1,2,1,1,3,2.9,513.4,521.3,9.7
Follicular,8.3,5,4,5,2,0.0,244.4,344.4,70.0
Late Luteal,6.7,3,3,3,4,1.3,556.7,631.5,27.9
Early Luteal,8.4,4,3,2,2,0.0,194.2,282.7,67.2
Ovulation,6.2,4,4,4,3,1.8,320.5,316.7,44.7
Menstrual,7.4,4,3,2,3,0.6,424.3,346.3,45.2
Menstrual,9.3,5,5,3,2,0.0,140.6,240.6,80.3
Follicular,6.0,3,4,3,2,2.0,179.4,279.4,45.5
Follicular,7.7,4,3,4,2,0.3,262.7,227.6,56.1
Early Luteal,6.8,3,3,3,1,1.2,135.5,142.9,55.6
Late Luteal,5.4,2,3,2,3,2.6,316.6,310.0,20.9
Follicular,6.4,3,3,4,2,1.6,307.1,281.8,44.6
Ovulation,9.3,4,3,3,2,0.0,184.6,282.0,71.0
Late Luteal,6.5,2,2,2,3,1.5,519.8,451.0,23.6
Follicular,7.5,3,3,3,1,0.5,69.3,42.0,63.4
Follicular,5.1,3,2,2,3,2.9,313.7,316.1,21.3
Ovulation,6.4,3,3,3,2,1.6,312.1,360.6,48.4
Follicular,7.5,4,4,4,2,0.5,134.3,164.1,63.3
Late Luteal,8.3,2,3,2,1,0.0,131.2,231.2,58.3
Follicular,7.4,3,4,4,2,0.6,221.1,321.1,54.9
Follicular,8.5,4,4,4,4,0.0,388.0,431.1,49.7
Early Luteal,6.3,3,3,3,1,1.7,9.5,80.2,52.6
Early Luteal,8.0,4,3,3,3,0.0,363.0,297.6,57.8
Follicular,6.8,4,3,4,1,1.2,50.3,121.0,61.1
Follicular,7.7,4,4,4,1,0.3,74.6,101.5,72.0
Follicular,7.8,5,4,4,2,0.2,245.9,105.4,66.8
Early Luteal,8.4,4,5,4,2,0.0,151.2,13.9,72.4
Early Luteal,6.7,3,3,2,5,1.3,679.9,547.1,22.3
Early Luteal,7.7,4,4,3,1,0.3,108.5,116.6,71.3
Follicular,6.6,3,3,4,2,1.4,242.7,342.7,43.4
Follicular,7.2,5,3,4,3,0.8,329.5,326.2,50.7
Follicular,9.5,4,4,5,3,0.0,422.5,468.7,64.1
Late Luteal,7.1,4,1,1,5,0.9,800.0,784.0,22.8
Late Luteal,6.2,3,3,3,3,1.8,404.7,504.7,30.6
Follicular,5.2,3,4,3,1,2.8,89.7,0.0,44.4
Late Luteal,6.7,3,2,2,3,1.3,437.0,406.0,28.9
Ovulation,5.6,2,2,3,4,2.4,554.1,506.8,18.8
Menstrual,7.8,4,4,3,1,0.2,130.6,230.6,65.3
Menstrual,5.2,2,2,1,5,2.8,657.6,632.9,0.0
Late Luteal,8.3,4,3,4,2,0.0,117.9,179.7,57.7
Late Luteal,5.8,2,2,2,2,2.2,256.3,219.1,28.1
Late Luteal,6.7,3,3,2,2,1.3,209.2,218.8,40.2
Menstrual,8.2,3,3,2,3,0.0,365.5,407.3,49.1
Menstrual,7.9,3,3,2,2,0.1,158.0,192.6,52.1
Early Luteal,6.6,4,4,4,1,1.4,114.7,67.3,66.8
Late Luteal,6.7,3,2,2,3,1.3,464.2,321.4,27.9
Menstrual,6.8,3,3,2,2,1.2,210.2,106.8,42.3
Early Luteal,7.6,4,4,3,1,0.4,161.9,76.0,63.7
Late Luteal,6.5,2,2,2,2,1.5,83.4,147.9,38.5
Follicular,8.5,4,5,5,1,0.0,24.3,83.6,80.7
Menstrual,7.7,5,3,3,2,0.3,216.2,293.5,59.7
Follicular,6.8,3,3,4,2,1.2,93.4,131.9,49.4
Follicular,7.7,4,2,2,5,0.3,765.5,670.9,32.1
Follicular,7.5,5,4,4,1,0.5,62.9,162.9,70.8
Ovulation,6.3,3,3,3,1,1.7,120.4,140.8,51.9
Follicular,6.4,3,3,4,2,1.6,132.9,151.3,53.5
Follicular,6.5,3,3,3,3,1.5,306.2,278.9,46.3
Menstrual,6.9,2,3,3,1,1.1,121.9,122.8,46.0
Early Luteal,8.9,5,3,3,5,0.0,799.2,885.1,39.5
Follicular,6.8,3,3,3,3,1.2,350.7,229.1,41.2
Follicular,7.0,3,2,3,2,1.0,182.9,147.5,52.0
Follicular,6.1,2,3,3,1,1.9,58.3,69.2,44.9
Menstrual,5.4,3,2,3,1,2.6,39.2,0.0,40.3
Early Luteal,7.8,4,4,4,2,0.2,203.6,194.1,64.4
Follicular,6.9,4,4,5,2,1.1,50.8,26.2,59.2
Early Luteal,7.0,3,3,3,2,1.0,200.1,184.0,53.5
Early Luteal,7.8,4,3,4,3,0.2,444.8,448.4,48.4
Follicular,8.0,4,4,3,3,0.0,439.2,442.4,51.8
Ovulation,7.0,3,3,3,2,1.0,221.7,272.5,49.6
Menstrual,7.0,3,3,3,1,1.0,29.1,129.1,56.1
Follicular,8.5,5,5,4,1,0.0,162.3,222.1,79.0
Late Luteal,6.9,3,2,2,2,1.1,145.4,230.4,45.0
Late Luteal,6.7,4,4,4,1,1.3,36.1,39.7,56.3
Follicular,8.0,5,4,5,5,0.0,702.3,760.7,43.0
Menstrual,6.4,2,4,4,1,1.6,20.2,67.6,41.9
Late Luteal,6.6,3,3,3,2,1.4,143.4,141.4,39.6
Early Luteal,6.8,3,4,2,2,1.2,178.8,94.2,47.4
Menstrual,6.7,3,3,3,1,1.3,99.0,192.4,48.2
Late Luteal,5.3,3,3,2,2,2.7,215.6,209.0,29.6
Ovulation,5.5,3,3,5,3,2.5,401.1,417.0,33.5
Menstrual,6.8,3,2,4,3,1.2,303.0,403.0,32.7
Early Luteal,6.4,3,3,3,2,1.6,151.8,217.9,39.4
Late Luteal,5.6,3,2,2,2,2.4,231.9,161.3,33.7
Menstrual,6.0,3,3,2,2,2.0,72.2,0.0,41.6
Follicular,7.0,4,4,4,1,1.0,54.3,154.3,68.0
Early Luteal,8.0,5,5,4,3,0.0,462.0,484.5,65.0
Late Luteal,4.5,1,1,2,2,3.5,193.0,229.0,8.2
Early Luteal,7.4,3,3,3,2,0.6,216.8,52.6,42.9
Early Luteal,6.4,4,3,3,2,1.6,167.0,132.9,49.8
Menstrual,8.3,5,4,3,2,0.0,148.5,148.2,70.4
Late Luteal,6.3,3,3,2,2,1.7,119.2,53.5,40.7
Early Luteal,6.5,4,3,3,3,1.5,322.5,183.1,43.1
Menstrual,6.6,4,3,2,4,1.4,378.8,356.3,29.9
Follicular,7.0,4,4,4,2,1.0,244.9,87.8,56.0
Follicular,8.7,5,4,4,3,0.0,336.0,163.7,70.8
Menstrual,7.2,4,3,3,2,0.8,142.4,113.6,54.6
Follicular,7.5,4,4,3,2,0.5,122.7,176.5,61.9
Follicular,6.9,3,3,3,1,1.1,135.0,27.4,52.2
Late Luteal,7.9,4,2,1,3,0.1,426.4,469.9,45.1
Early Luteal,7.8,4,3,3,1,0.2,62.4,162.4,65.8
Late Luteal,5.6,3,2,1,3,2.4,265.6,216.4,29.1
Late Luteal,7.2,5,3,2,2,0.8,57.1,0.0,61.5
Follicular,6.7,3,3,4,4,1.3,465.8,363.3,32.1
Menstrual,9.4,4,3,2,5,0.0,771.9,794.1,38.7
Menstrual,6.9,4,3,3,3,1.1,300.5,324.8,44.3
Menstrual,6.3,2,2,2,4,1.7,599.1,601.5,12.3
Early Luteal,6.4,3,2,3,1,1.6,61.4,113.4,52.1
Menstrual,5.3,3,2,2,2,2.7,236.2,298.2,32.6
Follicular,8.1,4,4,3,2,0.0,117.4,117.4,64.3
Menstrual,8.2,4,4,4,3,0.0,523.4,568.6,47.9
Late Luteal,8.4,4,3,3,4,0.0,654.1,546.0,40.1
Late Luteal,5.9,2,1,1,2,2.1,63.8,57.9,32.4
Late Luteal,7.9,3,2,3,4,0.1,602.7,567.1,38.1
Late Luteal,7.6,4,4,3,2,0.4,261.9,236.7,57.9
Early Luteal,8.5,4,4,4,2,0.0,206.0,56.2,71.5
Menstrual,5.9,3,2,2,2,2.1,246.8,131.2,35.5
Follicular,8.0,4,3,4,3,0.0,469.8,546.3,54.9
Menstrual,6.3,3,3,3,3,1.7,358.5,408.2,33.3
Late Luteal,6.4,2,1,2,4,1.6,575.1,675.1,11.4
Menstrual,8.2,4,4,3,2,0.0,45.6,145.6,63.1
Early Luteal,7.8,4,4,5,3,0.2,375.5,463.5,56.0
Late Luteal,5.2,2,2,2,1,2.8,51.9,146.3,29.2
Menstrual,8.2,4,2,2,2,0.0,142.0,24.8,64.4
Follicular,7.1,4,4,4,4,0.9,666.7,697.6,34.8
Follicular,7.0,3,4,4,2,1.0,294.8,301.3,52.3
Late Luteal,5.1,3,2,2,1,2.9,97.6,140.7,40.8
Ovulation,7.0,3,4,4,2,1.0,121.4,35.5,54.8
Early Luteal,5.8,3,3,3,2,2.2,78.7,79.8,38.8
Menstrual,6.2,2,2,2,2,1.8,178.2,202.3,30.0
Early Luteal,7.4,5,3,3,3,0.6,399.2,365.9,52.8
Follicular,7.9,4,3,4,2,0.1,229.0,193.7,66.0
Follicular,8.0,4,5,4,2,0.0,172.7,224.3,65.9
Follicular,7.8,3,4,4,2,0.2,192.4,134.5,56.1
Menstrual,6.7,2,2,3,2,1.3,310.2,315.4,27.6
Menstrual,6.1,3,3,3,2,1.9,164.5,245.6,43.6
Ovulation,8.2,4,4,5,3,0.0,420.9,413.3,59.8
Follicular,5.0,1,2,3,2,3.0,163.7,230.5,23.0
Late Luteal,7.7,3,3,3,3,0.3,303.0,359.6,43.2
Menstrual,7.6,4,3,3,2,0.4,193.4,207.5,49.5
Menstrual,8.8,4,4,3,2,0.0,157.9,158.7,67.8
Follicular,7.5,5,4,4,1,0.5,101.2,62.3,72.3
Early Luteal,7.2,4,3,3,2,0.8,262.1,348.3,53.3
Follicular,5.3,3,3,3,2,2.7,181.8,154.9,34.8
Early Luteal,7.6,4,3,3,2,0.4,19.0,13.1,70.5
Early Luteal,7.5,4,3,3,3,0.5,429.8,529.8,47.9
Follicular,6.5,4,4,4,2,1.5,283.6,236.0,55.7
Follicular,8.2,5,4,4,5,0.0,800.0,900.0,42.9
Follicular,8.5,3,3,3,3,0.0,411.5,255.7,55.8
Late Luteal,6.6,2,2,2,2,1.4,34.9,0.0,39.3
Late Luteal,5.9,2,3,2,1,2.1,42.7,0.0,39.0
Late Luteal,6.3,3,3,3,2,1.7,106.1,138.2,37.6
Follicular,6.5,1,3,4,2,1.5,131.9,169.6,36.7
Follicular,7.3,5,4,4,2,0.7,225.8,208.8,67.5
Menstrual,6.5,3,2,1,3,1.5,480.4,415.9,27.9
Menstrual,6.6,2,2,2,2,1.4,133.0,111.3,32.7
Late Luteal,6.8,4,4,3,2,1.2,186.3,275.0,53.6
Early Luteal,8.7,5,3,3,3,0.0,393.9,493.9,62.3
Menstrual,5.6,3,3,3,1,2.4,36.3,0.0,44.8
Late Luteal,8.1,3,3,3,3,0.0,231.5,315.1,49.3
Early Luteal,6.0,4,3,3,2,2.0,262.8,280.2,41.5
Follicular,9.3,4,4,4,1,0.0,50.5,22.8,77.8
Early Luteal,6.6,2,3,3,1,1.4,2.4,0.0,46.3
Late Luteal,7.5,4,4,4,1,0.5,92.2,192.2,63.7
Ovulation,7.6,4,5,5,2,0.4,124.7,36.2,63.1
Menstrual,7.4,3,3,2,2,0.6,125.5,68.0,43.5
Menstrual,4.5,1,2,2,2,3.5,157.8,120.1,12.0
Ovulation,6.9,3,4,4,3,1.1,446.9,415.6,41.2
Late Luteal,6.5,3,3,3,1,1.5,13.1,0.0,52.0
Follicular,5.2,3,3,4,3,2.8,394.1,373.9,19.7
Early Luteal,5.8,3,4,4,1,2.2,76.7,41.1,47.6
Ovulation,6.6,4,3,3,3,1.4,464.6,402.2,49.2
Follicular,6.0,3,4,4,1,2.0,7.2,69.8,53.1
Ovulation,7.3,4,4,4,2,0.7,312.9,269.0,53.5
Early Luteal,7.5,5,4,3,3,0.5,366.7,394.1,59.8
Follicular,6.1,3,3,1,1,1.9,19.9,119.9,50.4
Ovulation,6.0,3,3,3,1,2.0,82.0,45.4,51.5
Follicular,5.2,2,3,4,3,2.8,332.1,361.9,21.2
Follicular,8.1,4,3,4,2,0.0,173.4,199.2,63.2
Menstrual,6.9,3,3,2,3,1.1,311.7,330.8,31.9
Menstrual,5.6,4,3,2,1,2.4,69.6,0.0,49.4
Follicular,7.2,3,4,4,1,0.8,111.0,167.6,58.5
Menstrual,6.5,3,3,4,2,1.5,178.2,134.9,41.3
Menstrual,6.5,4,4,3,2,1.5,152.3,137.4,49.1
Late Luteal,5.9,3,2,1,3,2.1,363.2,378.1,23.1
Ovulation,7.7,4,4,5,1,0.3,78.8,99.8,73.5
Follicular,7.3,5,4,3,2,0.7,130.1,154.0,67.2
Late Luteal,4.5,2,1,2,3,3.5,369.8,268.2,12.9
Late Luteal,7.3,4,3,2,2,0.7,187.8,62.2,51.8
Menstrual,5.8,3,3,3,2,2.2,140.5,157.6,39.0
Menstrual,5.3,3,2,3,4,2.7,548.0,586.3,11.3
Ovulation,6.8,4,4,4,4,1.2,583.3,655.0,40.2
Menstrual,6.6,3,3,2,3,1.4,356.0,369.4,35.1
Follicular,9.5,4,5,4,2,0.0,80.3,95.9,77.4
Early Luteal,7.1,5,4,4,2,0.9,248.6,92.0,60.0
Menstrual,7.7,4,3,3,4,0.3,708.7,649.5,40.0
Menstrual,6.5,2,3,1,3,1.5,309.8,368.8,25.9
Early Luteal,6.3,3,3,3,2,1.7,81.1,0.0,40.6
Early Luteal,6.4,3,3,4,3,1.6,483.9,450.7,36.7
Ovulation,7.0,3,5,4,1,1.0,136.5,42.3,61.3
Follicular,7.7,4,2,4,3,0.3,284.2,366.4,53.0
Follicular,8.0,5,4,5,2,0.0,156.7,105.1,73.9
Follicular,8.8,5,4,5,4,0.0,631.0,676.3,58.9
Late Luteal,6.9,4,3,3,2,1.1,100.5,146.1,53.9
Follicular,7.6,4,3,3,1,0.4,121.9,182.5,65.1
Early Luteal,9.4,4,3,4,3,0.0,375.5,295.8,62.8
Follicular,9.4,5,4,5,2,0.0,108.4,0.0,80.3
Late Luteal,5.8,3,2,1,3,2.2,454.0,521.1,24.6
Follicular,6.3,4,3,3,4,1.7,486.1,529.7,42.6
Ovulation,4.7,1,4,4,1,3.3,50.9,0.0,29.5
Follicular,8.0,5,3,4,3,0.0,395.0,495.0,60.4
Follicular,6.2,3,3,3,3,1.8,371.4,232.5,32.0
Late Luteal,5.9,3,3,3,1,2.1,47.9,71.2,44.9
Follicular,8.0,3,4,3,1,0.0,39.9,0.0,71.7
Follicular,6.6,4,4,4,2,1.4,124.8,171.7,55.3
Ovulation,6.9,4,4,4,2,1.1,189.2,167.2,56.9
Menstrual,6.6,3,1,1,3,1.4,409.0,402.1,26.0
Follicular,6.7,3,3,3,2,1.3,99.6,130.5,50.8
Menstrual,4.8,1,2,1,2,3.2,146.2,246.2,12.2
Late Luteal,6.0,2,1,2,2,2.0,126.2,124.0,28.9
Early Luteal,7.6,3,3,3,1,0.4,67.0,0.0,61.6
Early Luteal,7.3,4,3,3,2,0.7,166.2,101.7,59.4
Late Luteal,7.4,2,3,3,2,0.6,130.3,181.3,38.5
Follicular,6.7,4,4,4,1,1.3,17.6,0.0,63.6
Late Luteal,5.7,2,2,2,3,2.3,398.7,447.5,17.4
Menstrual,8.2,4,3,4,1,0.0,148.0,182.9,63.7
Follicular,7.4,4,4,4,3,0.6,529.3,572.2,51.2
Menstrual,7.2,3,3,2,2,0.8,178.7,92.1,43.2
Early Luteal,7.7,4,3,5,2,0.3,211.8,210.7,59.6
Early Luteal,6.5,3,3,3,2,1.5,225.2,186.0,43.8
Early Luteal,5.1,3,2,2,2,2.9,111.0,156.3,31.3
Ovulation,7.2,4,4,5,3,0.8,382.0,457.2,54.9
Late Luteal,6.0,2,2,2,2,2.0,103.8,203.8,35.0
Early Luteal,5.8,3,2,2,4,2.2,517.0,491.5,26.4
Early Luteal,6.6,3,4,2,2,1.4,197.7,290.7,46.1
Late Luteal,7.0,3,2,3,1,1.0,121.8,151.2,49.5
Late Luteal,7.0,2,2,1,2,1.0,89.3,122.5,40.2
Follicular,7.5,5,4,4,2,0.5,140.4,78.1,66.9
Early Luteal,7.3,4,3,3,2,0.7,158.8,160.5,57.4
Early Luteal,6.2,3,3,2,2,1.8,149.4,146.8,44.9
Early Luteal,6.6,3,3,4,2,1.4,80.2,89.2,52.1
Early Luteal,6.3,3,3,3,5,1.7,800.0,748.7,22.2
Follicular,6.3,3,4,5,2,1.7,146.4,178.7,49.0
Early Luteal,6.8,4,3,4,4,1.2,632.0,732.0,33.2
Early Luteal,7.1,4,3,3,2,0.9,229.1,267.6,54.1
Early Luteal,6.3,3,4,4,1,1.7,9.7,109.7,56.0
Menstrual,6.6,4,3,3,3,1.4,257.2,314.3,40.7
Late Luteal,6.3,2,3,2,1,1.7,4.4,104.4,44.0
Follicular,6.7,2,3,3,2,1.3,173.5,273.5,39.5
Follicular,5.4,2,2,2,3,2.6,275.5,348.7,21.8
Early Luteal,8.6,4,3,3,2,0.0,170.6,224.0,65.2
Follicular,8.0,4,4,4,2,0.0,316.1,316.0,60.1
Late Luteal,4.8,1,2,2,1,3.2,81.0,163.5,20.6
Follicular,6.5,3,3,3,2,1.5,319.5,366.5,45.3
Late Luteal,5.6,2,3,2,3,2.4,400.4,472.1,14.9
Follicular,6.6,3,2,4,4,1.4,592.7,566.8,31.9
Follicular,6.6,3,3,3,2,1.4,184.6,284.6,39.9
Late Luteal,6.4,2,2,3,1,1.6,90.4,0.0,39.2
Follicular,5.9,4,3,4,4,2.1,623.3,590.4,31.0
Follicular,7.2,3,3,3,2,0.8,360.1,460.1,48.2
Late Luteal,7.3,3,3,3,1,0.7,229.8,329.8,52.7
Menstrual,7.6,4,3,3,1,0.4,143.5,27.1,60.9
